mnxr	stratum	verdict	detail	prompt_tokens	completion_tokens
MNXR134060	movable	unusable	["smiles 'O[C@H]1O[C@H](O)[C@@H](O)[C@@H](O)[C@@H]1O[C@H]2C1=CC=C([O-])C=C1[N+]([O-])=O' unparseable"]	2757	334
MNXR151533	movable	unbalanced	{"C": 7.0, "O": 3.0, "N": 2.0}	2903	298
MNXR101307	movable	unbalanced	{"C": 64.0, "O": 44.0, "N": 5.0}	3348	227
MNXR172090	movable	unbalanced	{"P": 1.0, "O": 3.0}	2802	321
MNXR131009	no_lever	unbalanced	{"C": -1.0, "Cl": -4.0, "O": 1.0}	2800	144
MNXR195010	movable	unbalanced	{"C": -1.0}	2910	320
MNXR173018	movable	unusable	["harness: BadJSON: Unterminated string starting at: line 16 column 17 (char 1308); usage=Usage(prompt_tokens=2836, completion_tokens=1024, seconds=97.6046403000073)"]	0	0
MNXR178600	movable	balanced	{}	2682	209
MNXR100761	movable	unbalanced	{"C": 21.0, "P": 2.0, "O": 14.0, "N": 7.0}	2695	218
MNXR184572	movable	unbalanced	{"C": 9.0, "P": 1.0, "O": 5.0, "N": 2.0, "*": 2.0}	3266	291
MNXR129820	movable	unbalanced	{"C": -8.0, "O": -4.0}	2672	439
MNXR183397	movable	unbalanced	{"C": 1.0, "O": 1.0, "*": -1.0}	2895	260
MNXR100767	movable	unusable	["harness: BadJSON: Unterminated string starting at: line 12 column 24 (char 1275); usage=Usage(prompt_tokens=3056, completion_tokens=1024, seconds=97.5301206560107)"]	0	0
MNXR144813	movable	refused	["All participants are polymers with no structure and no clear chemistry being done; cannot be made concrete without inven"]	2781	56
MNXR107650	movable	unbalanced	{"S": -1.0, "N": -7.0, "C": -17.0, "P": -3.0, "O": -15.0}	2732	171
MNXR142653	movable	unusable	["smiles 'CCCCCCCC/C=C\\x0cfffffff(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1OP(=O)([O-])[O-]' unparseable"]	3040	409
MNXR178208	movable	balanced	{}	2804	331
MNXR171583	movable	unbalanced	{"C": 1.0, "O": 1.0}	2901	435
MNXR144317	movable	unbalanced	{"C": 1.0}	2779	370
MNXR153077	movable	unbalanced	{"C": 5.0, "O": 4.0}	2846	544
MNXR203391	movable	balanced	{}	2822	550
MNXR158247	movable	unbalanced	{"C": -28.0}	2909	307
MNXR167260	movable	unusable	["harness: BadJSON: Unterminated string starting at: line 11 column 21 (char 1223); usage=Usage(prompt_tokens=3245, completion_tokens=851, seconds=80.24565692601027)"]	0	0
MNXR174492	movable	unusable	["smiles 'CC[C@H](C)[C@H](N=C(O)[C@H](CC(=O)O)N=C(O)[C@H](CC(C)C)N=C(O)[C@H](CC1=CN=CN1)N=C(O)[C@@H]1CSSC[C@H](N)C(O)=N[C@@H](CO)C(O)=N[C@H]2CSSC[C@H](N=C(O)[C@H](CCC(=O)O)N=C(O)[C@H](CCCCN)N=C(O)[C@H](CC(=O)O)N=C(O)[C@H](CCSC)N=C(O)[C@H](CC(C)C)N=C(O)[C@H](CO)N=C(O)[C@H](CO)N=C2O)C(O)=N[C@@H](C(C)C)C(O)=N[C@@H](CC2=CC=C(O)C=C2)C(O)=N[C@@H](CC2=CC=CC=C2)C(O)=N1)C(O)=N[C@H](C(O)=N[C@@H](CC1=CNC2=CC=CC=C12)C(' unparseable", "smiles 'CC[C@H](C)[C@H](N=C(O)[C@H](CC(=O)O)N=C(O)[C@H](CC(C)C)N=C(O)[C@H](CC1=CN=CN1)N=C(O)[C@@H]1CSSC[C@H](N)C(O)=N[C@@H](CO)C(O)=N[C@H]2CSSC[C@H](N=C(O)[C@H](CCC(=O)O)N=C(O)[C@H](CCCCN)N=C(O)[C@H](CC(=O)O)N=C(O)[C@H](CCSC)N=C(O)[C@H](CC(C)C)N=C(O)[C@H](CO)N=C(O)[C@H](CO)N=C2O)C(O)=N[C@@H](C(C)C)C(O)=N[C@@H](CC2=CC=C(O)C=C2)C(O)=N[C@@H](CC2=CC=CC=C2)C(O)=N1)C(O)=N[C@H](C(O)=N[C@@H](CC1=CNC2=CC=CC=C12)C(' unparseable"]	2935	1006
MNXR162433	movable	unbalanced	{"C": 6.0, "O": 6.0, "N": -3.0}	2915	419
MNXR152668	movable	unbalanced	{"C": -25.0, "P": -1.0, "O": -7.0, "N": -2.0, "*": -1.0}	2994	262
MNXR203728	movable	unbalanced	{"N": -1.0}	2919	373
MNXR137632	movable	unbalanced	{"C": -2.0, "O": 2.0}	3237	637
MNXR102733	movable	unbalanced	{"C": -3.0, "O": -2.0}	2818	459
MNXR130538	movable	unusable	["smiles 'Oc1ccc(c(Oc(=O)P(C)Cl)c1)[N+]([O-])=O' unparseable"]	2728	323
MNXR144737	movable	refused	["The reaction cannot be made concrete without inventing chemistry; the transformation is unclear and the participants are"]	2803	59
MNXR162892	movable	unbalanced	{"C": -18.0, "O": -1.0}	2780	450
MNXR166231	movable	unbalanced	{"C": 2.0, "O": 1.0}	2828	425
MNXR135808	movable	unbalanced	{"S": -1.0, "C": 14.0, "P": 3.0, "O": 14.0, "N": 5.0}	2964	349
MNXR138713	movable	unusable	["id MNXM146440 has no structure in MetaNetX", "id MNXM146439 has no structure in MetaNetX"]	2933	310
MNXR131546	movable	unbalanced	{"C": -1.0}	2677	212
MNXR144672	movable	unbalanced	{"C": 6.0, "P": 1.0, "O": 9.0}	2796	370
MNXR155054	movable	refused	["The reaction cannot be balanced without a concrete structure for MNXM1092646 ('Cav c'), which is the only participant wi"]	3476	296
MNXR133662	movable	unbalanced	{"C": 1.0}	2950	243
MNXR135693	movable	unbalanced	{"C": 12.0, "P": -1.0, "O": -4.0}	2933	441
MNXR96029	movable	unbalanced	{"S": 1.0, "C": -21.0, "P": 3.0, "O": 17.0, "N": 7.0}	3353	436
MNXR162435	movable	unbalanced	{"C": -3.0, "O": -2.0, "N": -1.0}	2862	480
MNXR100045	movable	unusable	["id MNXM8517 has no structure in MetaNetX", "id MNXM7256 has no structure in MetaNetX"]	2720	392
MNXR170691	movable	unusable	["smiles 'O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)C1OP(=O)(O)OM' unparseable"]	2781	625
MNXR136449	movable	unusable	["id MNXM12183 has no structure in MetaNetX", "id MNXM16029 has no structure in MetaNetX", "id MNXM8294 has no structure in MetaNetX"]	2690	523
MNXR204386	no_lever	balanced	{}	2810	133
MNXR170167	movable	unusable	["harness: BadJSON: Unterminated string starting at: line 15 column 17 (char 1278); usage=Usage(prompt_tokens=2838, completion_tokens=1024, seconds=97.6298044139985)"]	0	0
MNXR96791	movable	unbalanced	{"C": -2.0, "O": -1.0}	2674	395
MNXR130534	movable	balanced	{}	2841	304
MNXR147938	movable	unusable	["smiles 'NC1=NC=O[C@H]1[C@H]2O[C@H](CO)[C@@H](O)[C@H]2O' unparseable"]	2848	397
MNXR134201	movable	unbalanced	{"C": 1.0, "N": -1.0, "*": 1.0}	2952	237
MNXR172424	movable	refused	["All participants are structureless and represent protein complexes or components with no defined chemistry; no concrete "]	2771	62
MNXR131900	movable	unusable	["smiles 'O[C@H]1[C@H](O)C[C@@H](CO)O1[As](=O)(O)O' unparseable"]	2764	258
MNXR97283	movable	unbalanced	{"C": 3.0, "O": 5.0}	2950	516
MNXR194799	movable	refused	["All participants are structureless and no concrete chemistry is preserved."]	2671	48
MNXR104669	movable	unbalanced	{"C": 4.0, "O": 1.0}	2868	503
MNXR159445	movable	unusable	["id MNXM1093338 has no structure in MetaNetX", "id MNXM1091587 has no structure in MetaNetX"]	3053	598
MNXR135869	movable	unbalanced	{"C": 16.0, "O": 1.0}	2838	523
MNXR102795	movable	unbalanced	{"C": -19.0, "O": -3.0}	2802	446
MNXR189470	no_lever	balanced	{}	2700	124
MNXR130979	movable	unbalanced	{"C": -3.0, "O": -1.0}	2961	329
MNXR102124	movable	unusable	["harness: BadJSON: Unterminated string starting at: line 44 column 17 (char 1840); usage=Usage(prompt_tokens=2840, completion_tokens=1024, seconds=97.43562720098998)"]	0	0
MNXR184090	movable	unbalanced	{"C": 9.0, "P": 1.0, "O": 7.0, "N": 2.0, "*": 2.0}	2919	207
MNXR161709	movable	unusable	["smiles 'CCCCCCCCCCCCC(=O)OC[C@H](CO)OC(=O)C/C=C(\\n)/C/C=C(\\n)/C/C=C(\\n)/C/C=C(\\n)/C/C=C(\\n)/CC' unparseable", "smiles 'CCCCCCCCCCCCC(=O)OC[C@H](CO)OC(=O)C/C=C(\\n)/C/C=C(\\n)/C/C=C(\\n)/C/C=C(\\n)/C/C=C(\\n)/CC(=O)OCCCCCCCCCCCCC' unparseable"]	2905	761
MNXR97267	movable	unusable	["smiles 'CCCCCCCCCCCCCCCC(=O)O[C@H](CO)[C@H](O)COP(=O)(O)[O-][C@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O' unparseable"]	2919	516
MNXR179946	movable	unbalanced	{"C": -8.0, "O": -1.0}	2638	161
MNXR172200	movable	balanced	{}	2796	340
MNXR107933	movable	balanced	{}	2740	411
MNXR104556	movable	unbalanced	{"C": 11.0, "O": 8.0, "N": 1.0}	2894	544
MNXR158955	movable	balanced	{}	2969	374
MNXR99437	movable	unbalanced	{"C": -1.0, "O": 2.0}	3229	380
MNXR131367	movable	unbalanced	{"C": 1.0, "O": 1.0}	2910	363
MNXR174457	no_lever	refused	["The reaction cannot be made concrete without inventing chemistry; the structures provided are placeholders with no real "]	2641	57
MNXR186568	movable	unusable	["id MNXM1101047 has no structure in MetaNetX"]	2733	265
MNXR129657	movable	unbalanced	{"C": -1.0}	2943	276
MNXR172358	movable	unbalanced	{"N": 2.0, "C": 16.0, "O": 7.0}	2734	726
MNXR174440	movable	refused	["All participants are structureless proteins or protein complexes with no defined chemistry; no concrete reaction can be "]	3043	64
MNXR158672	movable	unbalanced	{"C": 19.0, "O": 1.0}	3008	395
MNXR168976	movable	unusable	["smiles 'SHSH' unparseable"]	2837	314
MNXR172212	movable	unbalanced	{"O": -1.0, "*": -1.0}	2745	281
MNXR97242	movable	unbalanced	{"C": -2.0}	3094	437
MNXR178487	movable	refused	["All participants lack structure and cannot be concretized without inventing chemistry"]	2737	51
MNXR105279	one_sided	refused	["The reaction has no participants and cannot be rewritten into a balanced, concrete form."]	2559	52
MNXR176161	movable	unbalanced	{"S": 1.0, "O": 1.0, "*": -1.0}	2923	329
MNXR152247	movable	unbalanced	{"O": 1.0}	3072	438
MNXR180871	movable	unbalanced	{"C": 5.0, "O": -1.0, "*": 1.0}	2798	401
MNXR155061	movable	refused	["All participants are structureless and represent redox-active complexes or carriers localized in a protein complex; no c"]	2835	65
MNXR184028	one_sided	refused	["The reaction has no participants and cannot be rewritten into a balanced, concrete form."]	2559	52
MNXR102575	movable	unusable	["smiles 'O=C(O)[C@H](O)COP(=O)(O)[O-][C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O' unparseable"]	2752	449
MNXR147902	movable	unbalanced	{"O": 1.0}	2821	265
MNXR159708	movable	unbalanced	{"C": 8.0, "O": 7.0}	2867	704
MNXR204487	one_sided	refused	["No reaction equation provided and no structured participants available to infer chemistry."]	2559	49
MNXR201769	one_sided	refused	["The reaction has no participants and cannot be rewritten into a concrete, balanced form."]	2559	52
MNXR173787	movable	unbalanced	{"C": -6.0, "*": -4.0, "O": -2.0}	2842	123
MNXR195013	movable	unbalanced	{"C": 1.0, "O": 1.0}	2682	408
MNXR195163	movable	unbalanced	{"C": 1.0, "O": 1.0}	2801	409
MNXR159059	movable	unbalanced	{"C": 5.0, "O": 1.0}	3026	469
MNXR160030	movable	unbalanced	{"N": 2.0, "C": 121.0, "P": 2.0, "O": 93.0}	3184	420
MNXR178476	movable	balanced	{}	2714	288
MNXR154253	movable	unbalanced	{"C": -2.0}	2959	416
MNXR137751	movable	unusable	["harness: BadJSON: Unterminated string starting at: line 15 column 17 (char 1300); usage=Usage(prompt_tokens=2849, completion_tokens=1024, seconds=99.34408728097333)"]	0	0
MNXR132398	movable	unbalanced	{"C": -2.0, "O": -1.0}	2756	420
MNXR182968	movable	unbalanced	{"C": -1.0, "O": -1.0}	2812	442
MNXR123150	movable	refused	["The reaction involves structureless DNA base pairs with no defined chemistry; no concrete transformation can be inferred"]	2629	58
MNXR195132	movable	unbalanced	{"N": 1.0, "O": 1.0}	2706	231
MNXR185017	movable	unbalanced	{"S": -1.0, "C": 3.0, "O": 3.0, "N": 1.0}	2848	242
MNXR116856	no_lever	balanced	{}	2747	147
MNXR203304	movable	unusable	["harness: BadJSON: Expecting property name enclosed in double quotes: line 22 column 29 (char 1073); usage=Usage(prompt_tokens=3482, completion_tokens=614, seconds=61.133029746008106)"]	0	0
MNXR143180	movable	refused	["All participants lack structure and cannot be concretized without inventing chemistry"]	2789	47
MNXR159985	movable	unusable	["id MNXM1092355 has no structure in MetaNetX", "id MNXM1094395 has no structure in MetaNetX"]	2810	381
MNXR99979	movable	unbalanced	{"C": -2.0, "O": 1.0}	3021	826
MNXR188025	movable	unbalanced	{"C": 10.0, "P": 1.0, "O": 5.0, "N": 3.0, "*": 2.0}	3223	267
MNXR110000	movable	refused	["All participants lack structure and cannot be concretized without inventing chemistry"]	2697	47
MNXR132835	movable	unbalanced	{"N": -2.0, "C": 2.0, "O": 3.0}	2805	307
MNXR133093	movable	balanced	{}	2750	286
MNXR116395	movable	unbalanced	{"*": 2.0}	2775	128
MNXR157909	movable	refused	["All participants are structureless and cannot be concretized without inventing chemistry or making assumptions about the"]	2889	64
MNXR130329	movable	unbalanced	{"N": -1.0}	2888	356
MNXR133855	movable	unbalanced	{"O": 1.0}	2919	295
MNXR136333	movable	unbalanced	{"C": -13.0, "P": -1.0, "O": -6.0}	2707	466
MNXR195124	movable	balanced	{}	2857	525
MNXR180884	movable	unbalanced	{"C": 11.0, "O": 5.0}	3200	684
MNXR115632	movable	unbalanced	{"O": -1.0}	3031	194
MNXR137552	movable	unbalanced	{"S": -1.0, "C": 14.0, "P": 3.0, "O": 11.0, "N": 6.0}	2972	523
MNXR131629	movable	unbalanced	{"C": -1.0, "O": 1.0}	2744	519
MNXR185131	movable	unbalanced	{"C": 10.0, "P": 1.0, "O": 5.0, "N": 3.0, "*": 2.0}	3219	267
MNXR159844	movable	unusable	["id MNXM1092085 has no structure in MetaNetX", "id MNXM1092293 has no structure in MetaNetX"]	3174	320
MNXR136264	movable	unusable	["smiles 'O=C([O-])C(C)CCCCCCCCCCCCC(=O)O[C@H]1[C@H](O)[C@@H](O)COP(=O)(O)OP(=O)(O)O[C@H]2[C@@H](O)C(O)C(O)C2O' unparseable", "smiles 'O=C([O-])C(C)CCCCCCCCCCCCC(=O)O[C@H]1[C@H](O)[C@@H](O)COP(=O)(O)O[C@H]2[C@@H](O)C(O)C(O)C2O' unparseable"]	2728	555
MNXR169087	movable	balanced	{}	2904	473
MNXR102117	movable	unbalanced	{"C": -5.0}	2844	603
MNXR195180	movable	unbalanced	{"N": 7.0, "C": 11.0, "P": 2.0, "O": 12.0}	2684	193
MNXR180915	movable	unbalanced	{"C": 4.0, "O": 3.0}	2870	370
MNXR180471	movable	unbalanced	{"C": 2.0, "O": 3.0}	2716	248
MNXR206800	no_lever	unbalanced	{"S": 1.0, "C": 22.0, "O": 6.0, "N": 3.0, "Ca": 1.0, "F": 1.0}	2820	105
MNXR104219	movable	unbalanced	{"S": -1.0, "O": -3.0, "*": 1.0}	2789	393
MNXR195724	no_lever	unbalanced	{"O": -3.0}	2635	90
MNXR160604	movable	unbalanced	{"S": 1.0, "C": 4.0, "O": 4.0}	2748	350
MNXR203750	movable	unusable	["smiles 'O[C@H]1[C@H](O)COP(O)(O)=O[C@H]1NC1=NC2=C(N)N=CN2C2=C1N=CN2' unparseable", "smiles 'O[C@H]1[C@H](O)COP(O)(O)=O[C@H]1N1C2=NC=CN2C2=C1N=CN2' unparseable"]	2784	416
MNXR108693	movable	unusable	["a side of the rewrite is empty"]	2675	202
MNXR168194	movable	unusable	["smiles 'NC1=NC2=C(N1)N=CNC2=O[C@H]1[C@H](O)[C@@H](CO)[C@H](O)[C@@H]1O' unparseable", "smiles 'CC(=O)NC1=NC2=C(N1)N=CNC2=O[C@H]1[C@H](O)[C@@H](CO)[C@H](O)[C@@H]1O' unparseable"]	2892	450
MNXR132324	movable	unusable	["smiles 'CC(C)C[C@@H](N)C(=O)NC[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@' unparseable"]	2721	838
MNXR155444	movable	unbalanced	{"C": 2.0, "O": 1.0}	2685	306
MNXR178324	movable	unbalanced	{"C": 3.0, "O": 2.0}	2673	221
MNXR109936	movable	unbalanced	{"O": 2.0}	2748	608
MNXR135863	movable	unbalanced	{"C": -13.0, "*": 1.0}	2736	271
MNXR154401	movable	unbalanced	{"S": 1.0, "C": -14.0, "P": -3.0, "O": -14.0, "N": -5.0}	3002	408
MNXR162534	movable	unbalanced	{"S": -1.0, "C": 5.0, "O": 2.0}	2687	295
MNXR144739	movable	unbalanced	{"C": -151.0, "P": -25.0, "O": -148.0, "N": -27.0}	3388	564
MNXR168268	movable	balanced	{}	2904	513
MNXR199006	movable	unbalanced	{"C": -2.0, "O": -1.0, "N": -1.0}	2899	313
MNXR132392	movable	unbalanced	{"N": -1.0, "C": -3.0, "O": 1.0}	2744	427
MNXR130503	movable	refused	["All participants are structureless and represent protein complexes with no defined chemistry or atom movements to balanc"]	2711	55
MNXR165562	movable	unusable	["harness: BadJSON: Unterminated string starting at: line 16 column 9 (char 1592); usage=Usage(prompt_tokens=2825, completion_tokens=1024, seconds=99.18759215399041)"]	0	0
MNXR180677	movable	balanced	{}	2801	868
MNXR172457	movable	unbalanced	{"S": -1.0, "O": -1.0}	3057	296
MNXR163188	movable	refused	["No structure is available for either participant, and no concrete chemistry can be inferred from the names alone."]	2669	52
MNXR169169	movable	unbalanced	{"C": -1.0, "O": -1.0, "*": -1.0}	2875	369
MNXR102193	movable	unbalanced	{"C": 4.0, "O": -2.0}	2722	347
MNXR194999	movable	balanced	{}	2847	566
MNXR123162	movable	balanced	{}	2865	329
MNXR131186	movable	unbalanced	{"C": -6.0, "O": -6.0}	2753	378
MNXR101286	movable	unbalanced	{"C": 8.0, "O": 5.0, "N": 1.0}	2870	344
MNXR152184	movable	unusable	["harness: BadJSON: Unterminated string starting at: line 9 column 24 (char 340); usage=Usage(prompt_tokens=3764, completion_tokens=332, seconds=32.8099286200013)"]	0	0
MNXR175957	movable	refused	["Both sides are amorphous peptides with no structure; no concrete chemistry can be preserved."]	2627	54
MNXR153269	no_lever	balanced	{}	2870	130
MNXR195342	movable	unbalanced	{"C": -1.0, "O": -1.0}	2718	344
MNXR137532	movable	unbalanced	{"O": -1.0}	2900	284
MNXR104138	movable	unbalanced	{"C": 44.0, "O": 32.0, "N": 4.0}	2884	386
MNXR158788	movable	unusable	["smiles 'CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]1(C(=O)OCCCCCCCCCCCCCCCCCCCCC)2C' unparseable"]	2754	347
MNXR180443	movable	unbalanced	{"C": 1.0, "O": 1.0}	2673	196
MNXR170165	movable	unbalanced	{"C": 8.0, "O": 2.0, "N": 3.0}	2915	514
MNXR180911	movable	unbalanced	{"C": 6.0, "O": 5.0}	2952	405
MNXR99440	movable	unbalanced	{"C": 6.0}	3233	377
MNXR157679	movable	unbalanced	{"C": -1.0, "O": 1.0}	2876	648
MNXR143302	movable	unbalanced	{"C": 144.0, "O": 120.0}	2888	447
MNXR106467	movable	refused	["Cytochrome a is an electron carrier with no structure and cannot be replaced without inventing chemistry"]	2694	56
MNXR163237	movable	unbalanced	{"C": -8.0, "P": -1.0, "O": -7.0, "N": -2.0}	2822	443
MNXR133461	movable	unbalanced	{"C": 2.0}	2894	258
MNXR131204	movable	unusable	["smiles 'CC/C=C\\x08bbbbbbbbbbb(=O)OCC(O)COP(=O)(O)OCCN' unparseable"]	2997	290
MNXR176234	movable	unbalanced	{"C": 6.0}	2810	267
MNXR141444	movable	balanced	{}	2671	197
